"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff","sRT","goRT","raceCheck"
"1","800","20","50",0.5,0.188333333333333,0.616016427104723,437.5,204.288977211114,616.980139468131,599.455589827231,644.754255352184,179.480139468131,161.955589827231,207.254255352184,166.001757206961,-24.8088377429827,-42.3333873838833,2.96527814107006,-38.2872200041535,576.713541816754,603.501757206961,26.788215390207
"2","800","20","50",0.505,0.196666666666667,0.628630705394191,284.5,236.60757031703,512.32679350633,492.475258370459,547.065625462456,227.82679350633,207.975258370459,262.565625462456,214.680892017542,-8.78077681069936,-28.632311946571,25.9580551454259,-21.9266782994878,471.304328641234,499.180892017542,27.8765633763085
"3","800","20","50",0.495,0.19,0.611111111111111,413,217.105205480106,623.02159311548,603.947074690805,653.007555060936,210.02159311548,190.947074690805,240.007555060936,197.61347012434,-7.08361236462585,-26.1581307893009,22.9023495808299,-19.4917353557664,580.742896276564,610.61347012434,29.8705738477756
"4","800","20","50",0.5,0.21,0.632911392405063,359,201.078402256456,559.845854868227,538.364631524875,597.359231348456,200.845854868227,179.364631524875,238.359231348456,184.500533806341,-0.23254738822925,-21.7137707315813,37.2808290920001,-16.5778684501155,506.543750805783,543.500533806341,36.9567830005574
"5","800","20","50",0.505,0.193333333333333,0.62603305785124,284.5,242.850301029122,495.884585368984,477.199003249085,531.085046516247,211.384585368984,192.699003249085,246.585046516247,197.750441899159,-31.4657156601381,-50.1512977800371,3.7347454871252,-45.0998591299628,455.748452117591,482.250441899159,26.5019897815678
"6","800","20","50",0.495,0.195,0.614906832298137,421.5,200.873684250269,599.068967378354,580.464507735501,630.841707083292,177.568967378354,158.964507735501,209.341707083292,167.648784173102,-23.3047168719143,-41.9091765147682,8.46802283302284,-33.2249000771663,567.959554023105,589.148784173102,21.1892301499978
"7","800","20","50",0.495,0.193333333333333,0.613636363636364,417,206.949175972095,610.469908740173,591.415596499106,642.670038008792,193.469908740173,174.415596499106,225.670038008792,180.472851073123,-13.4792672319219,-32.5335794729889,18.720862036697,-26.4763248989721,564.04940095622,597.472851073123,33.4234501169027
"8","800","20","50",0.5,0.191666666666667,0.618556701030928,425.5,196.590863663039,599.589945101058,581.674341489429,628.260648694503,174.089945101058,156.174341489429,202.760648694503,158.506364500777,-22.5009185619815,-40.4165221736104,6.16978503146336,-38.0844991622623,558.029559529689,584.006364500777,25.976804971088
"9","800","20","50",0.5,0.191666666666667,0.618556701030928,347.5,204.622785706937,519.322573105897,499.931433786427,548.813551548758,171.822573105897,152.431433786427,201.313551548758,158.426777099668,-32.8002126010401,-52.19135192051,-3.30923415817927,-46.1960086072689,484.402773943178,505.926777099668,21.5240031564904
"10","800","20","50",0.495,0.196666666666667,0.616182572614108,399.5,217.787054745829,599.907166347966,576.100182202408,627.466608399553,200.407166347966,176.600182202408,227.966608399553,184.531163407004,-17.3798883978623,-41.1868725434207,10.1795536537242,-33.2558913388252,555.30184773724,584.031163407004,28.7293156697634
"11","800","20","50",0.505,0.203333333333333,0.633891213389121,349,251.775992996705,581.268731975384,562.911180492477,609.513985162668,232.268731975384,213.911180492477,260.513985162668,216.282251371651,-19.5072610213217,-37.8648125042284,8.73799216596217,-35.4937416250541,534.856037100021,565.282251371651,30.4262142716302
"12","800","20","50",0.495,0.2,0.61875,361.5,221.618339814191,569.577969024727,551.277069106503,601.356771364723,208.077969024727,189.777069106503,239.856771364723,196.960233274199,-13.540370789464,-31.8412707076877,18.2384315505326,-24.6581065399911,520.823307400022,558.460233274199,37.6369258741776
"13","800","20","50",0.5,0.205,0.628930817610063,418,199.848438377091,614.014094003941,589.204528393842,649.417236680672,196.014094003941,171.204528393842,231.417236680672,178.523792439866,-3.83434437315006,-28.6439099832488,31.5687983035813,-21.3246459372255,565.779295676808,596.523792439866,30.7444967630574
"14","800","20","50",0.495,0.2,0.61875,364,191.943758675544,527.178675881061,503.304264299332,560.724275992636,163.178675881061,139.304264299332,196.724275992636,150.34142126784,-28.7650827944831,-52.6394943762122,4.78051731709195,-41.6023374077042,489.682254562974,514.34142126784,24.6591667048655
"15","800","20","50",0.505,0.198333333333333,0.62993762993763,294,211.297963330716,493.923585936769,472.735761651065,523.487385097156,199.923585936769,178.735761651065,229.487385097156,184.726816073148,-11.3743773939466,-32.5622016796507,18.1894217664402,-26.5711472575679,454.905564135004,478.726816073148,23.821251938144
"16","800","20","50",0.5,0.221666666666667,0.642398286937901,321,199.060193266249,519.348807697465,493.378134870962,559.997657936083,198.348807697465,172.378134870962,238.997657936083,177.437541616969,-0.711385568784124,-26.6820583952871,39.937464669834,-21.6226516492803,461.755288319462,498.437541616969,36.6822532975067
"17","800","20","50",0.5,0.195,0.62111801242236,302,211.210744795213,489.181734829964,465.790029788626,517.308186881036,187.181734829964,163.790029788626,215.308186881036,171.292767008451,-24.0290099652482,-47.4207150065866,4.09744208582381,-39.9179777867618,437.82200752715,473.292767008451,35.4707594813003
"18","800","20","50",0.495,0.193333333333333,0.613636363636364,333,174.261054721806,491.662810431981,468.704727393298,522.890052210018,158.662810431981,135.704727393298,189.890052210018,144.190422477062,-15.5982442898251,-38.5563273285088,15.6289974882118,-30.0706322447448,449.582391798253,477.190422477062,27.6080306788089
"19","800","20","50",0.5,0.215,0.636942675159236,361,201.882915119872,579.341406059365,547.938644678576,613.464165240629,218.341406059365,186.938644678576,252.464165240629,194.425311379757,16.4584909394928,-14.9442704412961,50.5812501207571,-7.45760374011462,514.995575535228,555.425311379757,40.4297358445293
"20","800","20","50",0.505,0.201666666666667,0.632567849686848,296,220.016810783909,507.882470165666,486.079022934351,542.068722336888,211.882470165666,190.079022934351,246.068722336888,197.5716632836,-8.13434061824336,-29.9377878495582,26.0519115529784,-22.4451475003094,454.685087454351,493.5716632836,38.8865758292489
"21","800","20","50",0.505,0.211666666666667,0.640591966173361,311.5,218.750023807486,535.824895687369,508.045939114023,579.225374825589,224.324895687369,196.545939114023,267.725374825589,202.680945722348,5.57487187988323,-22.2040846934631,48.9753510181033,-16.0690780851381,477.263154479649,514.180945722348,36.9177912426986
"22","800","20","50",0.495,0.19,0.611111111111111,416.5,200.350448268103,605.542869480471,579.56888559355,635.427487936929,189.042869480471,163.06888559355,218.927487936929,173.146387036983,-11.3075787876317,-37.2815626745527,18.5770396688261,-27.2040612311201,551.827915391837,589.646387036983,37.8184716451451
"23","800","20","50",0.505,0.195,0.627329192546584,303,201.780371712265,504.238155190994,481.496245283325,537.560671771406,201.238155190994,178.496245283325,234.560671771406,183.754601221308,-0.542216521271229,-23.2841264289408,32.780300059141,-18.0257704909577,446.672085717444,486.754601221308,40.0825155038636
"24","800","20","50",0.495,0.198333333333333,0.617463617463617,392,222.295788236725,592.82914294602,575.11008991153,621.414312657735,200.82914294602,183.11008991153,229.414312657735,186.103944414108,-21.4666452907056,-39.1856983251955,7.11852442100997,-36.1918438226172,547.624640480705,578.103944414108,30.4793039334025
"25","800","20","50",0.5,0.213333333333333,0.635593220338983,449.5,188.161824469056,621.839172819596,600.631777905478,665.372898782909,172.339172819596,151.131777905478,215.872898782909,159.145612904816,-15.8226516494593,-37.0300465635774,27.7110743138535,-29.01621156424,574.814264664769,608.645612904816,33.8313482400464
"26","800","20","50",0.5,0.196666666666667,0.622406639004149,348,215.648054825292,551.032786428174,531.999796340053,582.941113084061,203.032786428174,183.999796340053,234.941113084061,190.068466393887,-12.6152683971181,-31.6482584852392,19.2930582587689,-25.5795884314055,503.800606115143,538.068466393887,34.2678602787444
"27","800","20","50",0.505,0.203333333333333,0.633891213389121,333.5,211.962577894944,522.525611444043,500.65376740446,556.819029851296,189.025611444043,167.15376740446,223.319029851296,173.220720688964,-22.9369664509004,-44.8088104904834,11.3564519563523,-38.7418572059798,480.608269598809,506.720720688964,26.112451090155
"28","800","20","50",0.5,0.19,0.617283950617284,388,208.221049477574,570.516865322864,548.604320605936,595.184351669657,182.516865322864,160.604320605936,207.184351669657,170.919313158205,-25.7041841547102,-47.6167288716387,-1.03669780791722,-37.3017363193691,531.463222111244,558.919313158205,27.4560910469609
"29","800","20","50",0.495,0.188333333333333,0.609856262833676,429.5,184.205677485975,600.941612322273,575.755359632312,626.514097740091,171.441612322273,146.255359632312,197.014097740091,152.068916102077,-12.7640651637018,-37.9503178536622,12.8084202541167,-32.1367613838972,566.778995100587,581.568916102077,14.7899210014904
"30","800","20","50",0.5,0.193333333333333,0.619834710743802,309.5,230.752107204836,518.197339509073,495.823500709729,543.028157764702,208.697339509073,186.323500709729,233.528157764702,190.177339430729,-22.0547676957635,-44.4286064951069,2.77605055986612,-40.5747677741069,475.502586734426,499.677339430729,24.1747526963037
"31","800","20","50",0.495,0.206666666666667,0.623949579831933,332.5,213.603278392356,535.899748539591,515.542285399406,571.592508922863,203.399748539591,183.042285399406,239.092508922863,191.262414387889,-10.2035298527655,-30.5609929929502,25.489230530507,-22.3408640044673,488.844739728163,523.762414387889,34.9176746597263
"32","800","20","50",0.505,0.196666666666667,0.628630705394191,335,205.266361051829,512.244311846818,492.527845986955,541.162910439414,177.244311846818,157.527845986955,206.162910439414,161.219824306814,-28.0220492050105,-47.7385150648735,0.896549387585566,-44.0465367450142,468.710525658811,496.219824306814,27.509298648003
"33","800","20","50",0.495,0.208333333333333,0.625263157894737,390.5,210.309950043438,589.815913267372,565.815040634647,628.062792291057,199.315913267372,175.315040634647,237.562792291057,186.124531004012,-10.9940367760663,-34.9949094087908,27.2528422476187,-24.1854190394258,530.2359881526,576.624531004012,46.3885428514122
