"","nsubjects","ntrials","tau","pmiss","standard_X2.5.","standard_X50.","standard_X97.5.","respOnly_X2.5.","respOnly_X50.","respOnly_X97.5.","prespAdj_X2.5.","prespAdj_X50.","prespAdj_X97.5.","mean_X2.5.","mean_X50.","mean_X97.5."
"1","16","100","1","0",-9,0,7,-9,0,7,-9,0,7,-10,-2,5
"2","16","100","1","5",-11,-5,3,-15,-8,0,-8,-1,7,-15,-9,-1
"3","16","100","1","10",-13,-6,7,-21,-13,-1,-4,3,15,-21,-14,-3
"4","16","100","1","15",-19,-10,0,-30,-20,-12,-4,6,17,-30,-21,-11
"5","16","100","50","0",-14,-5,8,-14,-5,8,-14,-5,8,-8,0,10
"6","16","100","50","5",-14,-6,7,-18,-10,2,-10,-1,12,-15,-5,6
"7","16","100","50","10",-19,-9,4,-28,-18,-6,-8,3,16,-23,-14,-2
"8","16","100","50","15",-24,-13,0,-38,-29,-16,-6,7,21,-32,-23,-12
"9","16","100","100","0",-20,-7,3,-20,-7,3,-20,-7,3,-3,9,20
"10","16","100","100","5",-21,-8,4,-26,-15,-2,-14,-1,11,-8,3,14
"11","16","100","100","10",-28,-13,6,-41,-27,-9,-12,4,23,-22,-10,10
"12","16","100","100","15",-33,-12,7,-55,-34,-17,-3,23,46,-35,-16,2
"13","16","100","150","0",-29,-13,5,-30,-13,5,-29,-13,5,1,16,33
"14","16","100","150","5",-33,-13,6,-40,-23,-3,-23,-4,18,-8,7,24
"15","16","100","150","10",-30,-12,6,-48,-33,-15,-6,13,35,-16,-1,16
"16","16","100","150","15",-40,-14,9,-71,-46,-24,5,37,66,-34,-13,9
"17","16","100","200","0",-36,-14,14,-37,-15,12,-36,-13,16,1,21,45
"18","16","100","200","5",-35,-15,6,-47,-27,-10,-22,-1,24,-6,13,30
"19","16","100","200","10",-43,-15,9,-66,-41,-17,-10,20,48,-33,0,23
"20","16","100","200","15",-52,-13,15,-89,-55,-32,3,58,101,-48,-13,6
"21","16","200","1","0",-8,-1,4,-8,-1,4,-8,-1,4,-8,-2,3
"22","16","200","1","5",-10,-4,2,-13,-7,-1,-6,-1,6,-13,-8,-2
"23","16","200","1","10",-10,-6,0,-18,-13,-8,-2,2,9,-18,-14,-7
"24","16","200","1","15",-17,-9,-2,-27,-20,-14,-3,6,14,-28,-20,-13
"25","16","200","50","0",-12,-5,3,-12,-5,3,-12,-5,3,-6,0,8
"26","16","200","50","5",-14,-6,1,-18,-10,-3,-9,-2,7,-12,-5,2
"27","16","200","50","10",-16,-8,-1,-25,-17,-11,-5,3,10,-19,-12,-5
"28","16","200","50","15",-20,-10,-3,-35,-25,-19,-1,10,19,-29,-19,-13
"29","16","200","100","0",-18,-8,1,-18,-8,1,-18,-8,1,2,11,19
"30","16","200","100","5",-19,-11,-1,-25,-17,-8,-13,-4,6,-6,3,12
"31","16","200","100","10",-27,-13,0,-39,-27,-14,-12,3,16,-19,-7,5
"32","16","200","100","15",-30,-15,-3,-51,-37,-26,1,17,30,-30,-17,-5
"33","16","200","150","0",-26,-12,4,-26,-12,3,-25,-12,4,8,21,33
"34","16","200","150","5",-29,-13,2,-37,-22,-8,-20,-4,11,-4,11,23
"35","16","200","150","10",-32,-17,2,-49,-35,-17,-9,7,28,-16,0,16
"36","16","200","150","15",-33,-16,-3,-64,-46,-35,9,30,47,-29,-11,2
"37","16","200","200","0",-28,-11,5,-29,-12,4,-26,-10,7,16,30,44
"38","16","200","200","5",-37,-16,3,-47,-28,-9,-26,-4,17,-2,16,34
"39","16","200","200","10",-32,-14,4,-58,-39,-21,-3,18,37,-13,6,24
"40","16","200","200","15",-43,-20,4,-80,-59,-39,14,39,69,-32,-12,7
"41","16","400","1","0",-5,-1,2,-5,-1,2,-5,-1,2,-5,-2,2
"42","16","400","1","5",-8,-3,1,-11,-7,-2,-5,0,5,-11,-7,-3
"43","16","400","1","10",-10,-6,-2,-17,-13,-9,-2,2,7,-17,-13,-9
"44","16","400","1","15",-14,-9,-4,-24,-20,-16,0,6,11,-24,-20,-16
"45","16","400","50","0",-9,-4,1,-9,-4,1,-9,-4,1,-4,2,6
"46","16","400","50","5",-13,-6,-1,-17,-11,-5,-9,-2,4,-12,-5,0
"47","16","400","50","10",-13,-7,-2,-22,-16,-11,-3,4,9,-16,-11,-6
"48","16","400","50","15",-19,-11,-5,-33,-26,-21,0,8,15,-27,-20,-14
"49","16","400","100","0",-15,-8,-3,-15,-8,-3,-15,-8,-3,5,12,17
"50","16","400","100","5",-18,-11,-3,-24,-17,-9,-11,-4,4,-4,3,11
"51","16","400","100","10",-22,-12,-4,-35,-26,-17,-6,4,14,-14,-5,3
"52","16","400","100","15",-26,-16,-6,-47,-37,-28,2,15,27,-26,-16,-7
"53","16","400","150","0",-21,-11,-1,-21,-12,-1,-21,-11,-1,15,23,33
"54","16","400","150","5",-23,-12,-1,-32,-20,-10,-14,-2,9,4,15,25
"55","16","400","150","10",-27,-14,-3,-44,-32,-22,-5,9,21,-11,3,13
"56","16","400","150","15",-33,-18,-4,-62,-47,-37,9,27,42,-25,-11,-2
"57","16","400","200","0",-22,-13,-4,-24,-14,-5,-21,-11,-3,22,33,42
"58","16","400","200","5",-25,-14,-1,-35,-25,-12,-15,-2,12,10,22,34
"59","16","400","200","10",-27,-15,0,-51,-40,-24,3,15,32,-3,8,23
"60","16","400","200","15",-32,-16,0,-70,-56,-39,24,42,60,-22,-8,7
"61","16","800","1","0",-4,-1,2,-4,-1,2,-4,-1,2,-4,-1,2
"62","16","800","1","5",-7,-3,0,-10,-7,-4,-3,0,3,-9,-7,-4
"63","16","800","1","10",-9,-5,-2,-16,-12,-10,-1,3,6,-16,-12,-10
"64","16","800","1","15",-13,-9,-5,-23,-20,-17,2,5,9,-23,-20,-16
"65","16","800","50","0",-7,-3,1,-7,-3,1,-7,-3,1,-1,3,6
"66","16","800","50","5",-10,-6,-2,-14,-10,-7,-5,-1,3,-8,-4,0
"67","16","800","50","10",-13,-9,-4,-21,-18,-14,-2,2,7,-15,-12,-7
"68","16","800","50","15",-17,-12,-7,-31,-26,-22,2,8,12,-24,-20,-16
"69","16","800","100","0",-12,-7,-2,-12,-7,-2,-12,-7,-2,8,13,18
"70","16","800","100","5",-14,-10,-4,-21,-15,-10,-8,-3,3,0,5,11
"71","16","800","100","10",-17,-12,-6,-30,-25,-19,-3,4,10,-9,-4,1
"72","16","800","100","15",-24,-17,-11,-44,-38,-32,5,14,20,-23,-17,-11
"73","16","800","150","0",-18,-11,-5,-18,-11,-5,-17,-11,-5,18,25,30
"74","16","800","150","5",-21,-12,-6,-29,-21,-15,-12,-3,3,8,15,22
"75","16","800","150","10",-22,-16,-9,-40,-34,-27,1,7,14,-4,4,9
"76","16","800","150","15",-26,-17,-9,-55,-47,-39,16,27,39,-18,-10,-2
"77","16","800","200","0",-21,-13,-6,-22,-14,-8,-20,-11,-5,25,34,40
"78","16","800","200","5",-22,-13,-5,-32,-24,-16,-9,-1,8,16,24,31
"79","16","800","200","10",-27,-17,-9,-50,-41,-32,2,12,21,-1,7,16
"80","16","800","200","15",-32,-18,-8,-69,-57,-49,23,40,51,-21,-8,1
"81","32","100","1","0",-8,-1,5,-8,-1,5,-8,-1,5,-9,-3,3
"82","32","100","1","5",-11,-4,2,-14,-7,-2,-7,-1,6,-14,-9,-3
"83","32","100","1","10",-13,-6,1,-19,-13,-7,-4,2,9,-20,-14,-9
"84","32","100","1","15",-17,-8,-3,-27,-20,-15,-2,6,14,-28,-21,-14
"85","32","100","50","0",-10,-4,3,-10,-4,3,-10,-4,3,-6,0,7
"86","32","100","50","5",-14,-6,2,-18,-10,-2,-9,-1,8,-14,-6,2
"87","32","100","50","10",-17,-8,0,-25,-18,-10,-5,3,12,-21,-13,-5
"88","32","100","50","15",-21,-13,-5,-35,-27,-19,-1,7,18,-30,-22,-15
"89","32","100","100","0",-16,-8,2,-16,-8,2,-16,-8,2,1,9,18
"90","32","100","100","5",-19,-10,2,-25,-16,-5,-12,-2,10,-8,2,12
"91","32","100","100","10",-23,-12,-2,-37,-26,-15,-7,5,17,-17,-8,2
"92","32","100","100","15",-26,-13,-2,-49,-35,-26,6,20,34,-30,-17,-9
"93","32","100","150","0",-26,-11,3,-26,-11,3,-26,-11,3,6,19,31
"94","32","100","150","5",-26,-12,2,-35,-21,-8,-17,-1,13,-7,9,19
"95","32","100","150","10",-27,-12,2,-46,-32,-20,-4,13,30,-15,-1,11
"96","32","100","150","15",-36,-13,5,-65,-45,-30,10,39,61,-29,-13,4
"97","32","100","200","0",-30,-13,3,-31,-15,1,-28,-12,5,8,20,36
"98","32","100","200","5",-31,-16,7,-42,-28,-8,-19,-2,21,-1,12,28
"99","32","100","200","10",-33,-14,6,-59,-40,-20,-4,19,43,-17,1,17
"100","32","100","200","15",-40,-17,7,-81,-62,-39,24,52,81,-35,-17,-1
"101","32","200","1","0",-6,-1,2,-6,-1,2,-6,-1,2,-6,-2,1
"102","32","200","1","5",-8,-3,2,-11,-6,-2,-5,1,5,-12,-7,-3
"103","32","200","1","10",-10,-6,-1,-17,-13,-9,-1,3,7,-17,-13,-9
"104","32","200","1","15",-14,-8,-4,-25,-20,-15,0,6,11,-25,-20,-16
"105","32","200","50","0",-8,-4,1,-8,-4,1,-8,-4,1,-2,1,5
"106","32","200","50","5",-12,-6,0,-16,-11,-5,-7,-1,4,-11,-5,0
"107","32","200","50","10",-15,-8,-3,-23,-17,-13,-4,3,8,-18,-12,-7
"108","32","200","50","15",-18,-11,-3,-33,-26,-19,1,9,17,-27,-20,-12
"109","32","200","100","0",-12,-7,-1,-12,-7,-1,-12,-7,-1,7,12,19
"110","32","200","100","5",-18,-10,-4,-24,-16,-9,-11,-4,3,-5,3,10
"111","32","200","100","10",-22,-13,-3,-34,-26,-18,-6,4,13,-14,-6,3
"112","32","200","100","15",-23,-14,-4,-44,-36,-28,7,18,28,-23,-16,-9
"113","32","200","150","0",-19,-9,0,-19,-9,0,-19,-9,1,14,23,32
"114","32","200","150","5",-24,-13,-4,-32,-22,-13,-15,-3,5,2,12,21
"115","32","200","150","10",-28,-16,-5,-46,-35,-23,-5,7,20,-13,0,10
"116","32","200","150","15",-28,-17,-5,-56,-47,-36,15,29,44,-21,-12,0
"117","32","200","200","0",-22,-10,0,-23,-12,-2,-20,-8,3,22,32,41
"118","32","200","200","5",-27,-15,-1,-37,-26,-13,-14,-2,12,9,19,31
"119","32","200","200","10",-29,-15,-1,-52,-40,-27,1,16,32,-7,5,18
"120","32","200","200","15",-36,-20,-4,-74,-59,-44,22,41,59,-25,-13,1
"121","32","400","1","0",-4,-1,1,-4,-1,1,-4,-1,1,-4,-2,0
"122","32","400","1","5",-6,-3,0,-9,-7,-4,-2,1,3,-9,-7,-4
"123","32","400","1","10",-10,-5,-2,-16,-13,-9,-1,3,6,-17,-13,-9
"124","32","400","1","15",-12,-9,-6,-23,-20,-17,1,5,9,-23,-20,-17
"125","32","400","50","0",-8,-4,0,-8,-4,0,-8,-4,0,-2,2,5
"126","32","400","50","5",-11,-6,-3,-15,-10,-8,-6,-1,1,-9,-5,-2
"127","32","400","50","10",-12,-8,-4,-22,-17,-14,-2,3,7,-15,-11,-8
"128","32","400","50","15",-17,-12,-7,-31,-26,-22,2,8,14,-25,-21,-16
"129","32","400","100","0",-13,-8,-4,-13,-8,-4,-13,-8,-4,8,12,16
"130","32","400","100","5",-15,-10,-4,-21,-16,-10,-8,-3,2,-1,4,9
"131","32","400","100","10",-18,-12,-7,-31,-26,-20,-1,4,10,-10,-5,0
"132","32","400","100","15",-22,-15,-9,-43,-36,-30,7,16,23,-22,-16,-10
"133","32","400","150","0",-17,-11,-6,-17,-11,-6,-17,-11,-6,18,24,29
"134","32","400","150","5",-20,-13,-5,-28,-21,-13,-10,-3,6,8,14,22
"135","32","400","150","10",-22,-15,-7,-39,-33,-26,1,8,17,-4,2,10
"136","32","400","150","15",-27,-18,-8,-56,-48,-39,15,27,39,-19,-12,-4
"137","32","400","200","0",-20,-13,-5,-21,-15,-7,-19,-12,-4,25,32,38
"138","32","400","200","5",-24,-15,-7,-34,-26,-18,-11,-3,6,13,20,28
"139","32","400","200","10",-24,-14,-4,-48,-38,-28,6,16,27,0,9,18
"140","32","400","200","15",-27,-16,-6,-65,-56,-45,30,42,57,-18,-8,1
"141","32","800","1","0",-3,-1,1,-3,-1,1,-3,-1,1,-3,-1,1
"142","32","800","1","5",-5,-3,-1,-9,-6,-5,-2,0,2,-9,-7,-5
"143","32","800","1","10",-8,-5,-3,-14,-12,-11,0,3,4,-15,-13,-11
"144","32","800","1","15",-11,-9,-6,-22,-20,-17,3,5,8,-23,-20,-17
"145","32","800","50","0",-6,-4,-1,-6,-4,-1,-6,-4,-1,0,2,5
"146","32","800","50","5",-9,-6,-3,-13,-10,-7,-4,-1,2,-7,-4,-1
"147","32","800","50","10",-12,-9,-6,-21,-18,-15,-2,2,5,-15,-12,-9
"148","32","800","50","15",-15,-11,-8,-29,-26,-23,4,8,12,-23,-20,-17
"149","32","800","100","0",-11,-7,-4,-11,-7,-4,-11,-7,-4,10,13,16
"150","32","800","100","5",-14,-10,-7,-20,-16,-13,-7,-3,0,1,5,7
"151","32","800","100","10",-17,-12,-8,-30,-25,-21,-1,4,8,-10,-4,-1
"152","32","800","100","15",-21,-17,-12,-42,-38,-34,8,14,18,-21,-17,-13
"153","32","800","150","0",-15,-11,-6,-15,-11,-6,-15,-10,-5,20,24,29
"154","32","800","150","5",-18,-13,-9,-27,-22,-17,-9,-4,0,10,15,19
"155","32","800","150","10",-21,-16,-10,-39,-34,-28,1,7,14,-2,3,9
"156","32","800","150","15",-24,-18,-12,-54,-48,-42,19,26,33,-17,-11,-5
"157","32","800","200","0",-17,-13,-8,-19,-14,-10,-16,-11,-7,30,34,38
"158","32","800","200","5",-20,-14,-8,-30,-24,-19,-8,-2,5,18,24,29
"159","32","800","200","10",-24,-17,-9,-47,-41,-33,5,12,20,2,8,15
"160","32","800","200","15",-27,-18,-11,-65,-57,-51,29,40,48,-16,-8,-3
"161","64","100","1","0",-4,0,3,-4,0,3,-4,0,3,-6,-2,1
"162","64","100","1","5",-8,-4,-1,-12,-8,-4,-4,-1,3,-13,-9,-5
"163","64","100","1","10",-12,-6,-2,-18,-13,-9,-4,3,7,-19,-14,-10
