"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff","sRT","goRT","raceCheck"
"1","200","20","1",0.48,0.2,0.6,372,162.943978665534,534.073981578705,514.672820085371,555.091289830554,162.073981578705,142.672820085371,183.091289830554,150.815700932288,-0.869997086828675,-20.2711585801624,20.1473111650208,-12.1282777332459,497.360152086925,522.815700932288,25.4555488453623
"2","200","20","1",0.44,0.173333333333333,0.532258064516129,356,189.251928323157,517.220521791645,508.191891243181,534.088414592874,161.220521791645,152.191891243181,178.088414592874,153.737807773579,-28.0314065315123,-37.0600370799766,-11.1635137302835,-35.5141205495785,501.007069033115,509.737807773579,8.73073874046429
"3","200","20","1",0.52,0.206666666666667,0.65546218487395,220,231.445286097603,456.226549428308,438.851722420923,480.749165793398,236.226549428308,218.851722420923,260.749165793398,216.134430830919,4.78126333070486,-12.5935636766797,29.3038796957946,-15.3108552666837,410.57452364009,436.134430830919,25.5599071908289
"4","200","20","1",0.52,0.186666666666667,0.639344262295082,290,222.928870589317,483.331569998782,463.506411423567,495.540486249879,193.331569998782,173.506411423567,205.540486249879,172.851624494278,-29.5973005905356,-49.4224591657505,-17.3883843394383,-50.0772460950394,443.148718813485,462.851624494278,19.7029056807924
"5","200","20","1",0.48,0.2,0.6,320,210.164655431326,532.057936208339,509.478811588349,549.003775460431,212.057936208339,189.478811588349,229.003775460431,196.810908024756,1.89328077701236,-20.6858438429776,18.8391200291048,-13.3537474065708,486.739574336884,516.810908024756,30.0713336878716
"6","200","20","1",0.46,0.206666666666667,0.579831932773109,414,223.271936121429,635.258880202367,620.307540439806,651.258596854174,221.258880202367,206.307540439806,237.258596854174,213.208268012248,-2.0130559190624,-16.9643956816227,13.9866607327452,-10.0636681091807,611.609804430419,627.208268012248,15.5984635818292
"7","200","20","1",0.5,0.193333333333333,0.619834710743802,238,203.939149048336,421.964351195988,404.605798425635,447.12705390004,183.964351195988,166.605798425635,209.12705390004,167.960603761433,-19.9747978523482,-37.3333506227011,5.18790485170373,-35.9785452869029,387.33207086748,405.960603761433,18.6285328939535
"8","200","20","1",0.46,0.193333333333333,0.570247933884298,400,201.088191693147,608.962016757115,589.410552609962,621.120932259523,208.962016757115,189.410552609962,221.120932259523,191.278388259095,7.87382506396787,-11.6776390831847,20.0327405663764,-9.80980343405199,566.721945842356,591.278388259095,24.5564424167387
"9","200","20","1",0.48,0.213333333333333,0.610169491525424,366,199.606889627632,582.29575140995,566.350026611948,603.992490749394,216.29575140995,200.350026611948,237.992490749394,205.620510452766,16.6888617823184,0.743136984316465,38.3856011217622,6.01362082513444,543.287540378306,571.620510452766,28.33297007446
"10","200","20","1",0.5,0.173333333333333,0.604838709677419,298,206.770238634183,450.139703581613,433.339971037762,473.469671162997,152.139703581613,135.339971037762,175.469671162997,139.896214535896,-54.6305350525707,-71.4302675964217,-31.3005674711861,-66.8740240982875,418.115855559579,437.896214535896,19.7803589763171
"11","200","20","1",0.52,0.206666666666667,0.65546218487395,228,240.037866752988,461.088122024999,447.616798001875,481.960150366883,233.088122024999,219.616798001875,253.960150366883,212.723934573437,-6.94974472798941,-20.4210687511136,13.9222836138949,-27.3139321795516,431.554507159332,440.723934573437,9.16942741410509
"12","200","20","1",0.52,0.206666666666667,0.65546218487395,282,189.705566075681,464.668220628929,445.755402911115,492.323463972993,182.668220628929,163.755402911115,210.323463972993,161.626024766585,-7.037345446752,-25.9501631645667,20.6178978973122,-28.0795413090958,426.773291021647,443.626024766585,16.8527337449389
"13","200","20","1",0.5,0.206666666666667,0.630252100840336,262,213.291058052294,482.200786549474,461.500378759841,494.507710522587,220.200786549474,199.500378759841,232.507710522587,199.211253113678,6.90972849717934,-13.7906792924529,19.216652470293,-14.0798049386163,435.61232812043,461.211253113678,25.5989249932481
"14","200","20","1",0.5,0.193333333333333,0.619834710743802,316,190.474397231015,490.466917969417,480.555749276794,506.298426771029,174.466917969417,164.555749276794,190.298426771029,163.989938946519,-16.0074792615984,-25.9186479542219,-0.175970459986019,-26.4844582844966,459.232196114702,479.989938946519,20.7577428318169
"15","200","20","1",0.5,0.2,0.625,310,190.934376265375,491.482839084308,472.825905342686,509.837006022503,181.482839084308,162.825905342686,199.837006022503,155.128749211018,-9.45153718106721,-28.1084709226884,8.90262975712844,-35.8056270543567,460.237691435111,465.128749211018,4.89105777590743
"16","200","20","1",0.5,0.186666666666667,0.614754098360656,314,200.84555669848,498.695867890752,485.154365528808,512.663073451886,184.695867890752,171.154365528808,198.663073451886,172.074117540103,-16.1496888077289,-29.6911911696722,-2.1824832465941,-28.7714391583771,448.6376303214,486.074117540103,37.4364872187031
"17","200","20","1",0.5,0.22,0.641025641025641,352,213.215645025008,556.717028478309,536.316321997974,586.782603247347,204.717028478309,184.316321997974,234.782603247347,189.258036515065,-8.49861654669996,-28.8993230270347,21.5669582223389,-23.9576085099435,510.650636850807,541.258036515065,30.6073996642584
"18","200","20","1",0.48,0.2,0.6,330,240.609985715182,549.790761459562,533.851852046235,574.040243596869,219.790761459562,203.851852046235,244.040243596869,208.273306486937,-20.8192242556204,-36.7581336689474,3.43025788168677,-32.3366792282447,518.034578546224,538.273306486937,20.238727940713
"19","200","20","1",0.48,0.226666666666667,0.620689655172414,392,200.050218608004,595.183496087095,577.387639209208,627.299157537095,203.183496087095,185.387639209208,235.299157537095,189.745969508844,3.13327747909153,-14.6625793987953,35.2489389290915,-10.3042490991592,547.713454473982,581.745969508844,34.0325150348624
"20","200","20","1",0.52,0.2,0.65,190,237.075401875119,449.992168463909,437.718027759763,478.296970173314,259.992168463909,247.718027759763,288.296970173314,241.93905387951,22.9167665887901,10.6426258846433,51.2215682981949,4.86365200439093,397.89016298674,431.93905387951,34.0488908927705
"21","200","20","1",0.52,0.213333333333333,0.661016949152542,276,208.700774103851,472.218993358886,456.849226967475,496.079610625888,196.218993358886,180.849226967475,220.079610625888,178.16227700384,-12.4817807449651,-27.8515471363757,11.3788365220375,-30.5384971000102,437.740976337837,454.16227700384,16.4213006660038
"22","200","20","1",0.5,0.18,0.609756097560976,320,225.761883842515,556.643474229184,547.773785351276,571.269738150535,236.643474229184,227.773785351276,251.269738150535,220.913028062524,10.881590386669,2.01190150876147,25.5078543080207,-4.84885577999029,505.64985347959,540.913028062524,35.2631745829349
"23","200","20","1",0.48,0.2,0.6,382,215.742053955272,584.086034609255,576.048666899635,610.133535901513,202.086034609255,194.048666899635,228.133535901513,195.270523121851,-13.6560193460165,-21.6933870556373,12.3914819462413,-20.4715308334211,552.120021715965,577.270523121851,25.1505014058858
"24","200","20","1",0.46,0.206666666666667,0.579831932773109,410,177.155170399319,561.165629045579,545.883986488242,589.865184070847,151.165629045579,135.883986488242,179.865184070847,142.318723861659,-25.9895413537395,-41.2711839110771,2.71001367152846,-34.83644653766,541.134411207596,552.318723861659,11.1843126540626
"25","200","20","1",0.48,0.173333333333333,0.580645161290323,380,187.110917670796,531.417080594008,518.924051354658,544.308569407597,151.417080594008,138.924051354658,164.308569407597,141.389902604863,-35.6938370767883,-48.1868663161377,-22.8023482631988,-45.7210150659327,506.558447459591,521.389902604863,14.8314551452725
"26","200","20","1",0.5,0.18,0.609756097560976,326,198.78226967362,490.91266524167,478.176028598549,509.419369680636,164.91266524167,152.176028598549,183.419369680636,151.380732627013,-33.86960443195,-46.6062410750709,-15.362899992984,-47.4015370466068,456.904483978684,477.380732627013,20.4762486483295
"27","200","20","1",0.48,0.2,0.6,328,209.74361518328,526.350598693329,507.075554932079,548.039609041109,198.350598693329,179.075554932079,220.039609041109,184.366493189395,-11.3930164899512,-30.6680602512015,10.2959938578283,-25.3771219938855,504.081882722146,512.366493189395,8.28461046724874
"28","200","20","1",0.5,0.206666666666667,0.630252100840336,238,214.93444593845,463.936154038239,452.843117530422,492.57164225881,225.936154038239,214.843117530422,254.57164225881,213.127692728212,11.0017080997888,-0.0913284080279766,39.6371963203596,-1.80675321023838,428.958543610725,451.127692728212,22.1691491174865
"29","200","20","1",0.48,0.193333333333333,0.59504132231405,326,212.339690403044,529.120796853562,516.95474185058,550.655371995256,203.120796853562,190.95474185058,224.655371995256,194.835288920959,-9.21889354948118,-21.3849485524639,12.3156815922123,-17.5044014820848,502.634540715955,520.835288920959,18.2007482050036
"30","200","20","1",0.52,0.206666666666667,0.65546218487395,212,205.563123419834,413.640384765747,401.983250481532,441.262013808872,201.640384765747,189.983250481532,229.262013808872,186.363005422501,-3.92273865408694,-15.579872938302,23.6988903890382,-19.2001179973327,372.209859921455,398.363005422501,26.1531455010459
"31","200","20","1",0.52,0.213333333333333,0.661016949152542,260,256.066594206833,506.766649610996,490.095065944108,532.306528617446,246.766649610996,230.095065944108,272.306528617446,228.914073215981,-9.29994459583736,-25.9715282627255,16.2399344106129,-27.1525209908527,476.54813763198,488.914073215981,12.3659355840011
"32","200","20","1",0.5,0.193333333333333,0.619834710743802,306,214.427592117604,520.004035759289,510.051760182425,539.793779744636,214.004035759289,204.051760182425,233.793779744636,200.640597678924,-0.423556358314869,-10.3758319351789,19.3661876270322,-13.7869944386798,483.612483326355,506.640597678924,23.0281143525698
